zip,county,state,latitude,longitude
85001,Maricopa County,AZ,33.45,-112.06
85002,Maricopa County,AZ,33.45,-112.06
85003,Maricopa County,AZ,33.45,-112.08
85004,Maricopa County,AZ,33.44,-112.07
85005,Maricopa County,AZ,33.44,-112.12
85006,Maricopa County,AZ,33.46,-112.05
85007,Maricopa County,AZ,33.45,-112.09
85008,Maricopa County,AZ,33.46,-111.98
85009,Maricopa County,AZ,33.44,-112.13
85010,Maricopa County,AZ,33.46,-111.98
85011,Maricopa County,AZ,33.5,-112.05
85012,Maricopa County,AZ,33.5,-112.07
85013,Maricopa County,AZ,33.5,-112.08
85014,Maricopa County,AZ,33.5,-112.05
85015,Maricopa County,AZ,33.5,-112.1
85016,Maricopa County,AZ,33.5,-112.02
85017,Maricopa County,AZ,33.5,-112.12
85018,Maricopa County,AZ,33.5,-111.98
85019,Maricopa County,AZ,33.5,-112.14
85020,Maricopa County,AZ,33.57,-112.05
85021,Maricopa County,AZ,33.55,-112.09
85022,Maricopa County,AZ,33.62,-112.05
85023,Maricopa County,AZ,33.63,-112.09
85024,Maricopa County,AZ,33.68,-112.04
85025,Maricopa County,AZ,33.45,-112.07
85026,Maricopa County,AZ,33.45,-111.97
85027,Maricopa County,AZ,33.68,-112.09
85028,Maricopa County,AZ,33.58,-112.01
85029,Maricopa County,AZ,33.59,-112.1
85030,Maricopa County,AZ,33.45,-112.07
85031,Maricopa County,AZ,33.49,-112.16
85032,Maricopa County,AZ,33.62,-112.0
85033,Maricopa County,AZ,33.49,-112.21
85034,Maricopa County,AZ,33.43,-112.01
85035,Maricopa County,AZ,33.47,-112.19
85036,Maricopa County,AZ,33.63,-112.15
85037,Maricopa County,AZ,33.48,-112.25
85038,Maricopa County,AZ,33.46,-111.98
85039,Maricopa County,AZ,33.49,-112.28
85040,Maricopa County,AZ,33.4,-112.02
85041,Maricopa County,AZ,33.38,-112.11
85042,Maricopa County,AZ,33.37,-112.03
85043,Maricopa County,AZ,33.42,-112.2
85044,Maricopa County,AZ,33.35,-112.02
85045,Maricopa County,AZ,33.3,-112.1
85046,Maricopa County,AZ,33.62,-112.0
85048,Maricopa County,AZ,33.31,-112.06
85050,Maricopa County,AZ,33.69,-112.0
85051,Maricopa County,AZ,33.55,-112.13
85053,Maricopa County,AZ,33.62,-112.13
85054,Maricopa County,AZ,33.67,-111.95
85055,Maricopa County,AZ,33.45,-111.97
85060,Maricopa County,AZ,33.5,-111.98
85061,Maricopa County,AZ,33.51,-112.12
85062,Maricopa County,AZ,33.46,-111.98
85063,Maricopa County,AZ,33.5,-112.17
85064,Maricopa County,AZ,33.5,-112.03
85065,Maricopa County,AZ,33.43,-112.05
85066,Maricopa County,AZ,33.39,-112.03
85067,Maricopa County,AZ,33.5,-112.08
85068,Maricopa County,AZ,33.67,-112.06
85069,Maricopa County,AZ,33.56,-112.09
85070,Maricopa County,AZ,33.3,-112.04
85071,Maricopa County,AZ,33.59,-112.11
85072,Maricopa County,AZ,33.45,-112.01
85073,Maricopa County,AZ,33.44,-112.07
85074,Maricopa County,AZ,33.45,-112.09
85075,Maricopa County,AZ,33.49,-112.21
85076,Maricopa County,AZ,33.32,-111.99
85077,Maricopa County,AZ,33.45,-111.97
85078,Maricopa County,AZ,33.62,-112.0
85079,Maricopa County,AZ,33.5,-112.11
85080,Maricopa County,AZ,33.63,-112.11
85082,Maricopa County,AZ,33.46,-111.98
85083,Maricopa County,AZ,33.73,-112.14
85085,Maricopa County,AZ,33.75,-112.09
85086,Maricopa County,AZ,33.83,-112.11
85087,Maricopa County,AZ,33.95,-112.07
85096,Maricopa County,AZ,33.44,-112.09
85097,Maricopa County,AZ,33.43,-112.15
85098,Maricopa County,AZ,33.44,-112.12
85099,Maricopa County,AZ,33.45,-111.97
85117,Pinal County,AZ,33.42,-111.54
85118,Pinal County,AZ,33.34,-111.42
85119,Pinal County,AZ,33.38,-111.51
85120,Pinal County,AZ,33.4,-111.56
85121,Pinal County,AZ,33.14,-111.92
85122,Pinal County,AZ,32.91,-111.74
85123,Pinal County,AZ,32.73,-111.67
85127,Maricopa County,AZ,33.21,-111.69
85128,Pinal County,AZ,32.97,-111.49
85130,Pinal County,AZ,32.89,-111.75
85131,Pinal County,AZ,32.65,-111.59
85132,Pinal County,AZ,32.95,-111.23
85135,Gila County,AZ,33.0,-110.79
85137,Pinal County,AZ,33.1,-110.97
85138,Pinal County,AZ,33.01,-111.97
85139,Pinal County,AZ,32.98,-112.11
85140,Pinal County,AZ,33.24,-111.54
85141,Pinal County,AZ,32.71,-111.49
85142,Maricopa County,AZ,33.16,-111.59
85143,Pinal County,AZ,33.16,-111.56
85145,Pinal County,AZ,32.57,-111.36
85147,Pinal County,AZ,33.08,-111.74
85172,Pinal County,AZ,32.93,-111.92
85173,Pinal County,AZ,33.28,-111.1
85178,Pinal County,AZ,33.42,-111.54
85190,Maricopa County,AZ,33.52,-111.38
85191,Pinal County,AZ,32.98,-111.45
85192,Pinal County,AZ,32.88,-110.66
85193,Pinal County,AZ,32.86,-111.83
85194,Pinal County,AZ,32.91,-111.65
85201,Maricopa County,AZ,33.44,-111.85
85202,Maricopa County,AZ,33.38,-111.87
85203,Maricopa County,AZ,33.44,-111.8
85204,Maricopa County,AZ,33.39,-111.78
85205,Maricopa County,AZ,33.43,-111.71
85206,Maricopa County,AZ,33.39,-111.71
85207,Maricopa County,AZ,33.45,-111.64
85208,Maricopa County,AZ,33.4,-111.63
85209,Maricopa County,AZ,33.37,-111.64
85210,Maricopa County,AZ,33.38,-111.84
